year,month,tBin,CLBJ,CPER,KONZ,MOAB,OAES,ONAQ,SRER,UKFS,WOOD
2016,4,4,0.164940545,0,0,0,0.035756853,0.12539185,0,0,0
2016,5,5,0.195150798,0,0.010341262,0.006688963,0.210477081,0,0,0.005646527,0
2016,6,6,0.25543041,0.005389383,0.251497006,0.183486239,1.125104954,0.012077295,0,0.034393809,1.641609102
2016,7,7,0.007809449,0.040650407,0.041931977,0,0.11356844,0.004330879,0,0.014177694,2.18332022
2016,8,8,0.00131268,0.037387836,0.694218241,0.108958838,0.026768642,0.005370569,0,0.011792453,6.930760499
2016,9,9,0.269583903,0.076075551,0.390013055,0,0.052974735,0.001692047,0.014820304,0.48273432,0.16933354
2016,10,10,0.340768278,0,0.014200511,0,1.566514712,0,0.007323325,0.003561254,0.001485222
2016,11,11,0.01432958,0,0,0,0.00625,0,0,0,0
2016,12,12,0,0,0,0,0,0,0,0,0
2017,1,13,0,0,0,0,0,0,0,0,0
2017,2,14,0,0,0,0,0,0,0,0,0
2017,3,15,0.033889115,0,0,0,0.010273973,0.058374495,0,0,0
2017,4,16,0.113875263,0,0.003602954,0,0.124789207,0,0.007457122,0.019638649,0
2017,5,17,0.022940164,0,0.151486098,0.037313433,1.393514461,0.007671653,0,0.074503311,0
2017,6,18,0.007639419,0.019745502,0.061258978,0.71197411,0.705083625,0.020491803,0,0.004533092,0.198002141
2017,7,19,0,0.054854635,0.013654984,0.793650794,0.016652789,0.031421838,0,0,4.713480507
2017,8,20,0.004756808,0.221544715,0.172226532,0.565885206,0.019111323,0.107681263,0,0.01812415,1.440092166
2017,9,21,0.295587916,0.045606034,0.165893435,0.032341527,5.459814529,0.009729993,0.008888889,0.099245732,0.01065449
2017,10,22,0.114903104,0,0.001783485,0,0.498687664,0,0,0.089965398,0
2017,11,23,0.001712622,0,0,0,0,0,0,0,0
2017,12,24,0,0,0,0,0,0,0.004852014,0,0
2018,1,25,0,0,0,0,0,0,0.008173273,0,0
2018,2,26,0.003531073,0,0,0,0,0,0.008877053,0,0
2018,3,27,0.042095416,0,0,0,0.008326395,0,0,0,0
2018,4,28,0.277087034,0,0,0.144927536,0.048740861,0,0,0,0
2018,5,29,0.056892779,0.005846244,0.180387012,0.094339623,0.177736202,0,0,0,0.033594625
2018,6,30,0.00405515,0.021949078,0.007993605,0.038314176,0.06993007,0.016708438,0,0.007604563,2.376487559
2018,7,31,0.00245942,0.02189781,0.043478261,0.34351145,0.096774194,0.024813896,0,0,10.472103
2018,8,32,0.020104544,0.16048911,1.120517928,0.323809524,0.243128964,0.044722719,0,0.437452034,8.247456515
2018,9,33,0.066964286,0,0.072532324,0,0.99137931,0.013633265,0,0.061182869,0
2018,10,34,0.057908071,0,0,0,0.977701544,0,0,0.087173101,0
2018,11,35,0.006711409,0,0,0,0,0,0.008928571,0,0
2018,12,36,0,0,0,0,0,0,0.009823183,0,0
2019,1,37,0,0,0,0,0,0,0,0,0
2019,2,38,0,0,0,0,0,0,0.036826247,0,0
2019,3,39,0.003633721,0,0,0,0,0,0,0,0
2019,4,40,0.088904694,0,0,0,0,0.091954023,0.004899559,0,0
2019,5,41,0.206466693,0,0.544147844,0,10.72103004,0.006038647,0,0,0
2019,6,42,0.162325406,0.077984403,1.566476525,0.410958904,7.368421053,0,0,0.032653061,0.045269353
2019,7,43,0,0.472366556,0.766847405,5.124298316,0.247844828,0.037993921,0,0.025951557,6.620926244
2019,8,44,0,0.126582278,0.038488453,0.480961924,0.109489051,0.215231788,0,0.034305317,6.335877863
2019,9,45,0,0,0.494374361,0,0.037140204,0.331651045,0,0.228070175,0.014836795
2019,10,46,0.163881748,0,0.01098177,0,0.052910053,0,0,0,0.003312355
2019,11,47,0,0,0,0,0,0,0.004599816,0,0
2019,12,48,0,0,0,0,0,0,0.005740528,0,0
