tBin,CLBJ,CPER,KONZ,MOAB,OAES,ONAQ,SRER,UKFS,WOOD
4,0.149206743,0,0,0,0.035771065,0.108025096,0,0,0
5,0.217455245,0,0.010054293,0.004601933,0.206055509,0,0,0.007446016,0
6,0.351032589,0.007814026,0.250478622,0.152905199,1.05188344,0.013101867,0,0.030604438,1.738511339
7,0.003848374,0.039039039,0.040220468,0.513636364,0.111234705,0.003243594,0.002001201,0.012594458,2.286118416
8,0.001209044,0.038516116,0.603839442,0.155136268,0.026799387,0.005694761,0,0.009077336,6.7436788
9,0.266330754,0.068713764,0.381386528,0,0.055020397,0.00158554,0.00711069,0.411411411,0.199442781
10,0.333666334,0,0.0528026,0,1.4719803,0,0.00336757,0.002850627,0.001724435
11,0.01162115,0,0,0,0.006259128,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0.033209352,0,0,0,0.010277492,0.052356021,0,0,0
16,0.110128483,0,0.003606853,0,0.125042244,0,0.002696872,0.019818416,0
17,0.022367195,0,0.153558052,0.020120724,1.394736842,0.018802883,0,0.060687795,0
18,0.006958942,0.019598975,0.059732235,0.197421434,0.102586976,0.022456383,0,0.004009623,0.207279624
19,0,0.050638485,0.011930801,0.08993576,0.046788601,0.236220472,0.002607562,0,4.831728266
20,0.005954508,0.230081586,0.163020163,0.903148599,0.020358306,0.18495935,0,0.016116035,1.413763739
21,0.295845116,0.045678145,0.166173778,0.017908309,5.172602548,0.009834776,0.002669514,0.097484925,0.012641935
22,0.111990314,0,0.003472222,0,0.499080641,0,0,0.08119925,0
23,0.001628664,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0.001637733,0,0
25,0,0,0,0,0,0,0.002997153,0,0
26,0.003533569,0,0,0,0,0,0.003115265,0,0
27,0.037689595,0,0,0,0.008333333,0,0.002184837,0,0
28,0.281842072,0,0,0.015209125,0.048780488,0,0,0,0
29,0.063141279,0.005854801,0.173556327,0.035410765,0.184718724,0,0,0,0.033619724
30,0.003856537,0.021978022,0.008019246,0.092879257,0.070202808,0.019808518,0,0.007616146,3.156864384
31,0.00246063,0.025996534,0.021929825,0.077160494,0.130095403,0.020920502,0,0,12.57440219
32,0.019025875,0.160796325,1.092843327,0.267089416,0.212404418,0.057163273,0,0.401384083,9.953421677
33,0.070422535,0.00310752,0.07260101,0,0.986790987,0.006807352,0,0.061182869,0
34,0.057971014,0,0,0,1.226819453,0,0.003184713,0.087281796,0
35,0.006718173,0,0,0,0,0,0.003131851,0,0
36,0,0,0,0,0,0,0.002950723,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0.024774775,0,0
39,0.003633721,0,0,0,0,0,0,0,0
40,0.086858006,0,0,0,0,0.08,0.003434066,0,0
41,0.209763679,0,0.548508742,0,11.12466039,0.003985652,0,0,0
42,0.166225916,0.061755624,1.568541301,0.42042042,7.394806773,0.024434942,0,0.026126715,0.062766422
43,0,0.481859575,0.771616906,3.486817367,0.544511668,0.071827614,0,0.020775623,8.185043829
44,0,0.135635018,0.038501925,0.455501051,0.109569028,0.188143415,0,0.027510316,6.277815624
45,0,0,0.498123507,0,0.018604651,0.31420765,0,0.206595385,0.014783168
46,0.167256353,0,0.01026062,0,0.052953157,0,0,0,0.003531073
47,0,0,0,0,0,0,0.012578616,0,0
48,0,0,0,0,0,0,0.005763689,0,0
